Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,7675.09
Ethereum,https://coinmarketcap.com/currencies/ethereum/,760.902
Ripple,https://coinmarketcap.com/currencies/ripple/,0.726552
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,974.776
Cardano,https://coinmarketcap.com/currencies/cardano/,0.339859
Litecoin,https://coinmarketcap.com/currencies/litecoin/,138.7
NEO,https://coinmarketcap.com/currencies/neo/,102.821
Stellar,https://coinmarketcap.com/currencies/stellar/,0.345398
EOS,https://coinmarketcap.com/currencies/eos/,7.60543
NEM,https://coinmarketcap.com/currencies/nem/,0.54455
IOTA,https://coinmarketcap.com/currencies/iota/,1.60425
Dash,https://coinmarketcap.com/currencies/dash/,529.391
Monero,https://coinmarketcap.com/currencies/monero/,210.369
Tether,https://coinmarketcap.com/currencies/tether/,1.01153
TRON,https://coinmarketcap.com/currencies/tron/,0.0334687
Lisk,https://coinmarketcap.com/currencies/lisk/,18.5648
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,18.4332
VeChain,https://coinmarketcap.com/currencies/vechain/,3.91891
Qtum,https://coinmarketcap.com/currencies/qtum/,22.0187
Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,88.3194
ICON,https://coinmarketcap.com/currencies/icon/,3.86886
Nano,https://coinmarketcap.com/currencies/raiblocks/,10.3769
Populous,https://coinmarketcap.com/currencies/populous/,33.6407
Zcash,https://coinmarketcap.com/currencies/zcash/,360.086
OmiseGO,https://coinmarketcap.com/currencies/omisego/,10.9349
Steem,https://coinmarketcap.com/currencies/steem/,3.62412
Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,8.14748
Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,0.00420857
Status,https://coinmarketcap.com/currencies/status/,0.209286
Verge,https://coinmarketcap.com/currencies/verge/,0.0487738
Siacoin,https://coinmarketcap.com/currencies/siacoin/,0.0205304
Stratis,https://coinmarketcap.com/currencies/stratis/,6.48321
Aeternity,https://coinmarketcap.com/currencies/aeternity/,2.63927
Maker,https://coinmarketcap.com/currencies/maker/,922.713
BitShares,https://coinmarketcap.com/currencies/bitshares/,0.215792
Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,274.232
DigixDAO,https://coinmarketcap.com/currencies/digixdao/,264.717
Augur,https://coinmarketcap.com/currencies/augur/,47.3798
Walton,https://coinmarketcap.com/currencies/walton/,20.672
Waves,https://coinmarketcap.com/currencies/waves/,5.12234
0x,https://coinmarketcap.com/currencies/0x/,1.00695
KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,5.40901
Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,0.00431126
Decred,https://coinmarketcap.com/currencies/decred/,69.9721
